Name,EP,P1,Away,Home,AvgPointsPerGame,teamAbbrev,Opp.x,ID,Salary,Value.x,Team,Opp.y,Pos,Lineup (?),ML,OU,Value.y,EPRWire,EP_Avg,date,P2,Mins,Lineup,dkp.x,gid,last_first,team,opp,h_a,gameid,gtime_et,team_pts,opp_pts,start,minutes,gp,active,fdp,dkp.y,ddp,yhp,stats,doubled,tripled,fd_sal,fd_change,dk_sal,dk_change,dd_sal,dd_change,yh_sal,yh_change,fd_pos,dk_pos,dd_pos,yh_pos,x35,nn,site,o_team,line,total
Ian Clark,9.11,PG,GS,NO,7.271,GS,NO,Ian Clark (7661560),3000,3.0366666666666666,GSW,NOP,PG,NA,-650,221.0,2.59,7.77,8.44,2016-10-28,SG,12,NA,NA,4611,"Clark, Ian",gsw,nor,A,20161028-gsw-nor,21.5,122,114,0,5.4,1,1,0.0,0.0,-0.25,0.0,0pt 0-1fg,0,0,3500,0, 3000,0, 5000,0,10,0,2,12,12,2,NA,Warriors,away,Pelicans,-11.0,222.5
Anthony Davis,57.49,PF,GS,NO,46.816,NO,GS,Anthony Davis (7661743),10900,5.274311926605504,NOP,GSW,PF,NA,534,221.0,4.56,49.70399999999999,53.596999999999994,2016-10-28,C,36,NA,NA,4482,"Davis, Anthony",nor,gsw,H,20161028-gsw-nor,21.5,114,122,1,39.9666666666667,1,1,76.9,80.25,76.75,77.4,45pt 17rb 3as 2st 2bl 1to 1trey 17-31fg 10-14ft,1,0,10800,600,10900,800,20250,1000,52,4,4,45,45,4,NA,Pelicans,home,Warriors,11.0,222.5
Tim Frazier,31.85,PG,GS,NO,13.529,NO,GS,Tim Frazier (7661601),5400,5.898148148148148,NOP,GSW,PG,NA,534,221.0,5.68,30.672,31.261000000000003,2016-10-28,NA,33,NA,NA,4717,"Frazier, Tim",nor,gsw,H,20161028-gsw-nor,21.5,114,122,1,34.35,1,1,40.2,44.0,42.75,40.7,21pt 6rb 10as 3to 1trey 10-18fg 0-1ft,1,0,5300,300, 5400,600, 6300,-150,18,5,1,1,1,1,NA,Pelicans,home,Warriors,11.0,222.5
David West,13.92,PF,GS,NO,16.699,GS,NO,David West (7661774),3000,4.64,GSW,NOP,PF,NA,-650,221.0,5.01,15.03,14.475,2016-10-28,NA,16,NA,NA,3573,"West, David",gsw,nor,A,20161028-gsw-nor,21.5,122,114,0,8.71666666666667,1,1,3.2,3.75,3.0,3.2,3pt 1rb 1to 1-3fg 1-2ft,0,0,3600,-200, 3000,-100, 6900,700,11,1,4,4,4,4,NA,Warriors,away,Pelicans,-11.0,222.5
Shaun Livingston,15.12,PG,GS,NO,15.836,GS,NO,Shaun Livingston (7661598),3000,5.039999999999999,GSW,NOP,PG,NA,-650,221.0,4.01,12.03,13.575,2016-10-28,NA,16,NA,NA,3651,"Livingston, Shaun",gsw,nor,A,20161028-gsw-nor,21.5,122,114,0,15.2333333333333,1,1,5.7,6.25,6.0,5.7,4pt 1rb 1as 1to 2-3fg,0,0,3500,-200, 3000,0, 6300,550,10,-3,1,1,12,1,NA,Warriors,away,Pelicans,-11.0,222.5
Klay Thompson,26.76,SG,GS,NO,34.212,GS,NO,Klay Thompson (7661661),6500,4.116923076923077,GSW,NOP,SG,NA,-650,221.0,3.13,20.345,23.552500000000002,2016-10-28,NA,30,NA,NA,4367,"Thompson, Klay",gsw,nor,A,20161028-gsw-nor,21.5,122,114,1,38.95,1,1,39.4,41.0,39.5,40.4,28pt 2rb 4as 2st 1to 2trey 11-21fg 4-4ft,0,0,6100,-400, 6500,0,12550,1800,39,2,2,2,23,2,NA,Warriors,away,Pelicans,-11.0,222.5
Andre Iguodala,18.95,SF,GS,NO,20.753,GS,NO,Andre Iguodala (7661716),3500,5.414285714285715,GSW,NOP,SF,NA,-650,221.0,4.27,14.944999999999999,16.947499999999998,2016-10-28,NA,22,NA,NA,3641,"Iguodala, Andre",gsw,nor,A,20161028-gsw-nor,21.5,122,114,0,30.0833333333333,1,1,17.9,18.5,18.25,18.4,9pt 2rb 3as 1st 1trey 4-7fg,0,0,4100,-200, 3500,0, 7100,1000,15,0,3,3,23,3,NA,Warriors,away,Pelicans,-11.0,222.5
Zaza Pachulia,20.16,C,GS,NO,24.552,GS,NO,Zaza Pachulia (7661816),3800,5.3052631578947365,GSW,NOP,C,NA,-650,221.0,4.42,16.796,18.478,2016-10-28,NA,18,NA,NA,3553,"Pachulia, Zaza",gsw,nor,A,20161028-gsw-nor,21.5,122,114,1,17.3833333333333,1,1,22.7,25.75,25.75,22.7,10pt 11rb 1as 2to 4-6fg 2-2ft,1,0,4500,-300, 3800,-200, 9500,1550,12,1,5,5,5,5,NA,Warriors,away,Pelicans,-11.0,222.5
Buddy Hield,16.53,SG,GS,NO,0.0,NO,GS,Buddy Hield (7661663),3800,4.3500000000000005,NOP,GSW,SG,NA,534,221.0,4.07,15.466000000000001,15.998000000000001,2016-10-28,NA,21,NA,NA,4961,"Hield, Buddy",nor,gsw,H,20161028-gsw-nor,21.5,114,122,0,18.5833333333333,1,1,4.7,5.75,4.5,4.7,2pt 1rb 1as 1bl 2to 1-6fg,0,0,4300,-200, 3800,0, 9100,-600,10,-5,2,2,2,2,NA,Pelicans,home,Warriors,11.0,222.5
Langston Galloway,13.13,PG,GS,NO,18.329,NO,GS,Langston Galloway (7661602),3000,4.376666666666667,NOP,GSW,PG,NA,534,221.0,3.57,10.71,11.920000000000002,2016-10-28,NA,16,NA,NA,4735,"Galloway, Langston",nor,gsw,H,20161028-gsw-nor,21.5,114,122,0,13.65,1,1,2.0,2.0,0.25,2.0,0pt 1st 0-7fg,0,0,4000,-100, 3000,-100, 6600,-150,10,0,1,1,12,1,NA,Pelicans,home,Warriors,11.0,222.5
Solomon Hill,16.36,SF,GS,NO,11.227,NO,GS,Solomon Hill (7661718),3600,4.544444444444444,NOP,GSW,SF,NA,534,221.0,5.21,18.756,17.558,2016-10-28,NA,28,NA,NA,4566,"Hill, Solomon",nor,gsw,H,20161028-gsw-nor,21.5,114,122,1,24.0666666666667,1,1,13.2,13.75,12.75,13.2,3pt 1rb 4as 2st 1to 1-4fg 1-2ft,0,0,4000,-300, 3600,-400, 9150,-250,12,2,3,3,23,3,NA,Pelicans,home,Warriors,11.0,222.5
Anderson Varejao,4.43,C,GS,NO,6.864,GS,NO,Anderson Varejao (7661817),3000,1.4766666666666666,GSW,NOP,C,NA,-650,221.0,1.44,4.32,4.375,2016-10-28,NA,5,NA,NA,3679,"Varejao, Anderson",gsw,nor,A,20161028-gsw-nor,21.5,122,114,0,0.0,0,1,0.0,0.0,0.0,0.0,NA,0,0,3500,0, 3000,0, 5000,0,10,0,5,5,45,4,NA,Warriors,away,Pelicans,-11.0,222.5
Patrick McCaw,8.77,SG,GS,NO,0.0,GS,NO,Patrick McCaw (7661630),3000,2.9233333333333333,GSW,NOP,SG,NA,-650,221.0,3.08,9.24,9.004999999999999,2016-10-28,SF,12,NA,NA,4902,"McCaw, Patrick",gsw,nor,A,20161028-gsw-nor,21.5,122,114,0,9.98333333333333,1,1,4.5,5.0,5.5,5.0,3pt 1as 1trey 1-1fg,0,0,3500,0, 3000,0, 5000,0,10,0,2,23,2,2,NA,Warriors,away,Pelicans,-11.0,222.5
Alexis Ajinca,9.72,C,GS,NO,13.962,NO,GS,Alexis Ajinca (7661819),3000,3.24,NOP,GSW,C,NA,534,221.0,4.27,12.809999999999999,11.265,2016-10-28,NA,13,NA,NA,4084,"Ajinca, Alexis",nor,gsw,H,20161028-gsw-nor,21.5,114,122,0,0.0,0,1,0.0,0.0,0.0,0.0,NA,0,0,4200,-300, 3000,-200, 5400,250,15,0,5,5,45,5,NA,Pelicans,home,Warriors,11.0,222.5
